date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:31	43612/43612	---MCZ	200	added ('OK')	text/html	etag:W/%22f74b74ad4a2401c5ca76d02eeab0e145%22	https://ygamin.bitbucket.io/flexpack/1.2.0/product.html	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/product.html	(from )
17:18:32	14/14	---M--	404	error ('Not%20Found')	text/plain	etag:%22f74b74ad4a2401c5ca76d02eeab0e145%22	https://ygamin.bitbucket.io/robots.txt		(from )
17:18:33	35359/35359	---MCZ	200	added ('OK')	text/css	etag:W/%22265a36ec650d63e307e611cdf14d9b89%22	https://use.fontawesome.com/releases/v5.0.8/css/all.css	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/use.fontawesome.com/releases/v5.0.8/css/all.css	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
17:18:34	1876/1876	---MCZ	200	added ('OK')	text/css	etag:%22gz[f74b74ad4a2401c5ca76d02eeab0e145]%22	https://ygamin.bitbucket.io/flexpack/1.2.0/assets/plugins/flickity/flickity.min.css	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/assets/plugins/flickity/flickity.min.css	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
17:18:34	3881/3881	---MCZ	200	added ('OK')	text/css	etag:%22gz[f74b74ad4a2401c5ca76d02eeab0e145]%22	https://ygamin.bitbucket.io/flexpack/1.2.0/assets/plugins/fullpagejs/dist/fullpage.min.css	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/assets/plugins/fullpagejs/dist/fullpage.min.css	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
17:18:34	142237/142237	---MCZ	200	added ('OK')	text/css	etag:%22gz[f74b74ad4a2401c5ca76d02eeab0e145]%22	https://ygamin.bitbucket.io/flexpack/1.2.0/assets/css/flexpack-blue.min.css	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/assets/css/flexpack-blue.min.css	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
17:18:35	96558/96558	---M--	200	added ('OK')	image/jpeg	etag:%22f74b74ad4a2401c5ca76d02eeab0e145%22	https://ygamin.bitbucket.io/flexpack/1.2.0/assets/img/home_product.jpg	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/assets/img/home_product.jpg	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
17:18:37	195700/195700	---M--	200	added ('OK')	image/jpeg	etag:%22f74b74ad4a2401c5ca76d02eeab0e145%22	https://ygamin.bitbucket.io/flexpack/1.2.0/assets/img/img_2.jpg	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/assets/img/img_2.jpg	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
17:18:37	250712/250712	---M--	200	added ('OK')	image/jpeg	etag:%22f74b74ad4a2401c5ca76d02eeab0e145%22	https://ygamin.bitbucket.io/flexpack/1.2.0/assets/img/img_1.jpg	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/assets/img/img_1.jpg	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
17:18:37	5348170/5348170	---M--	200	added ('OK')	video/mp4	etag:%22f74b74ad4a2401c5ca76d02eeab0e145%22	https://ygamin.bitbucket.io/flexpack/1.2.0/assets/video/1.mp4	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/assets/video/1.mp4	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
17:18:38	99328/99328	---M--	200	added ('OK')	image/jpeg	etag:%22f74b74ad4a2401c5ca76d02eeab0e145%22	https://ygamin.bitbucket.io/flexpack/1.2.0/assets/img/product_1.jpg	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/assets/img/product_1.jpg	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
17:18:38	146816/146816	---M--	200	added ('OK')	image/jpeg	etag:%22f74b74ad4a2401c5ca76d02eeab0e145%22	https://ygamin.bitbucket.io/flexpack/1.2.0/assets/img/product_2.jpg	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/assets/img/product_2.jpg	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
17:18:39	99543/99543	---M--	200	added ('OK')	image/jpeg	etag:%22f74b74ad4a2401c5ca76d02eeab0e145%22	https://ygamin.bitbucket.io/flexpack/1.2.0/assets/img/product_3.jpg	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/assets/img/product_3.jpg	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
17:18:39	135720/135720	---M--	200	added ('OK')	image/jpeg	etag:%22f74b74ad4a2401c5ca76d02eeab0e145%22	https://ygamin.bitbucket.io/flexpack/1.2.0/assets/img/product_4.jpg	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/assets/img/product_4.jpg	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
17:18:39	85544/85544	---M--	200	added ('OK')	image/jpeg	etag:%22f74b74ad4a2401c5ca76d02eeab0e145%22	https://ygamin.bitbucket.io/flexpack/1.2.0/assets/img/product_6.jpg	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/assets/img/product_6.jpg	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
17:18:40	105555/105555	---M--	200	added ('OK')	image/jpeg	etag:%22f74b74ad4a2401c5ca76d02eeab0e145%22	https://ygamin.bitbucket.io/flexpack/1.2.0/assets/img/product_7.jpg	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/assets/img/product_7.jpg	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
17:18:40	138655/138655	---M--	200	added ('OK')	image/jpeg	etag:%22f74b74ad4a2401c5ca76d02eeab0e145%22	https://ygamin.bitbucket.io/flexpack/1.2.0/assets/img/product_8.jpg	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/assets/img/product_8.jpg	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
17:18:41	119053/119053	---M--	200	added ('OK')	image/jpeg	etag:%22f74b74ad4a2401c5ca76d02eeab0e145%22	https://ygamin.bitbucket.io/flexpack/1.2.0/assets/img/countdown_bg.jpg	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/assets/img/countdown_bg.jpg	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
17:18:41	463063/463063	---M--	200	added ('OK')	image/png	etag:%22f74b74ad4a2401c5ca76d02eeab0e145%22	https://ygamin.bitbucket.io/flexpack/1.2.0/assets/img/feature_img_1.png	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/assets/img/feature_img_1.png	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
17:18:42	431642/431642	---M--	200	added ('OK')	image/png	etag:%22f74b74ad4a2401c5ca76d02eeab0e145%22	https://ygamin.bitbucket.io/flexpack/1.2.0/assets/img/feature_img_2.png	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/assets/img/feature_img_2.png	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
17:18:42	402784/402784	---M--	200	added ('OK')	image/png	etag:%22f74b74ad4a2401c5ca76d02eeab0e145%22	https://ygamin.bitbucket.io/flexpack/1.2.0/assets/img/feature_img_3.png	C:/Users/AzCompService/Desktop/New%20folder%20(5)/monopak/ygamin.bitbucket.io/flexpack/1.2.0/assets/img/feature_img_3.png	(from https://ygamin.bitbucket.io/flexpack/1.2.0/product.html)
